ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Fantastic Four Vol 1 151;Main Series;Thundra and Lightning;;;1974-10;1974-07-23;Gerry Conway;Rich Buckler;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Human Torch 🢒 | 🢐 Medusa 🢒 | 🢐 The Thing 🢒;Mahkizmo 🢒 (First appearance);🢐 Thundra 🢒 (Appears in flashback)
Fantastic Four Vol 1 152;Main Series;A World of Madness Made!;;;1974-11;1974-08-27;Gerry Conway;Rich Buckler;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Medusa 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;🢐 Mahkizmo 🢒;🢐 Invisible Girl 🢒 | 🢐 Franklin Richards 🢒 | 🢐 Thundra 🢒
Fantastic Four Vol 1 153;Main Series;Worlds in Collision!;;;1974-12;1974-09-24;Tony Isabella;Rich Buckler;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Medusa 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;🢐 Mahkizmo 🢒;🢐 Thundra 🢒
Fantastic Four Vol 1 154;Main Series;The Man in the Mystery Mask!;;;1975-01;1974-10-24;Stan Lee | Len Wein;Dick Ayers | William Robert Brown;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;🢐 Mystery Villain 🢒;Willie Lumpkin (Only in recap)
Fantastic Four Vol 1 155;Main Series;Battle Royal!;;;1975-02;1974-11-26;Len Wein;Rich Buckler;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Medusa (Medusalith Amaquelin) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;🢐 Doctor Doom (Victor von Doom) 🢒 (Only in flashback);🢐 Silver Surfer (Norrin Radd) 🢒 (Main story and flashback) | 🢐 Shalla-Bal 🢒 (Main story and flashback)
Fantastic Four Vol 1 156;Main Series;Middle Game!;;;1975-03;1974-12-24;Roy Thomas | Len Wein;Rich Buckler;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Medusa (Medusalith Amaquelin) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;🢐 Doctor Doom (Victor von Doom) 🢒 (Main story and recap) | Daedalus | Humanoids | Doombot (Destroyed);🢐 Silver Surfer (Norrin Radd) 🢒 (Main story and recap) | 🢐 Shalla-Bal 🢒 (Main story and recap)
Fantastic Four Vol 1 157;Main Series;The Endgame Cometh!;;;1975-04;1975-01-28;Roy Thomas;Rich Buckler;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 (Main story and recap) | 🢐 Medusa (Medusalith Amaquelin) 🢒 (Main story and recap) | 🢐 Thing (Ben Grimm) 🢒 (Main story and recap) | 🢐 Human Torch (Johnny Storm) 🢒 (Main story and recap);🢐 Doctor Doom (Victor von Doom) 🢒 (Main story and recap) and  (Appears in flashback) | Doomsman II (First appearance) (Destroyed) | Daedalus | 🢐 Mephisto 🢒;🢐 Silver Surfer (Norrin Radd) 🢒 (Main story and recap) | 🢐 Shalla-Bal 🢒 (Main story and recap) and  (Appears in flashback)
Fantastic Four Vol 1 158;Main Series;Invasion From the 5th (Count It, 5th!) Dimension;;;1975-05;1975-02-25;Roy Thomas;Rich Buckler;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Medusa 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒 | 🢐 Invisible Girl 🢒;🢐 Xemu 🢒 | Soldiers of the 5th dimension  (Only in flashback);🢐 Alicia Masters 🢒 | 🢐 Quicksilver 🢒
Fantastic Four Vol 1 159;Main Series;Havoc in the Hidden Land!;;;1975-06;1975-03-25;Roy Thomas;Rich Buckler;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Invisible Girl 🢒 (rejoins team as full member) | 🢐 Medusa 🢒 (Leaves group) | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;🢐 Xemu (Last appearance) | soldiers from the 5th dimension;House of Agon | 🢐 Black Bolt 🢒 | 🢐 Crystal 🢒 | 🢐 Gorgon 🢒 | 🢐 Karnak 🢒 | 🢐 Triton 🢒 | 🢐 Quicksilver 🢒 | 🢐 Valeria 🢒 | 🢐 Phineas 🢒
Fantastic Four Vol 1 160;Main Series;In One World-- And Out the Other!;;;1975-07;1975-04-22;Roy Thomas;John Buscema;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Richards) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | The Thing (Ben Grimm) (See chronology);🢐 Arkon 🢒 | Inter-Related Technocracies/Interlocking Technologies Unlimited | 🢐 Albert DeVoor 🢒 (First appearance) | Monster Robots;🢐 The Thing (Reed Richards-721) 🢒 | 🢐 Lockjaw 🢒 | 🢐 Alicia Masters 🢒
